Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
6,,,,,,,4.125386715,4.125386715,4.125386715,,,,,,,4.134120083,4.104337215,4.159495831
14,4.104337215,4.104337215,4.104337215,,,,,,,,,,,,,4.139204216,4.104337215,4.159495831
16,,,,,,,,,,4.156426907,4.156426907,4.156426907,,,,4.154231644,4.124953747,4.179474354
56,,,,,,,,,,,,,4.159495831,4.159495831,4.159495831,4.147736359,4.123950481,4.179474354
57,,,,,,,,,,4.124953747,4.124953747,4.124953747,,,,4.126842022,4.055024147,4.179474354
74,4.150807381,4.150807381,4.150807381,,,,,,,,,,,,,4.114288998,4.055024147,4.179474354
108,4.179474354,4.179474354,4.179474354,,,,,,,,,,,,,4.104182053,4.055024147,4.179474354
134,,,,4.123950481,4.123950481,4.123950481,,,,,,,,,,4.101287746,4.055024147,4.165002823
140,,,,,,,4.055024147,4.055024147,4.055024147,,,,,,,4.101686573,4.055024147,4.165002823
161,4.062188625,4.062188625,4.062188625,,,,,,,,,,,,,4.112168312,4.062188625,4.165002823
190,,,,,,,4.100272655,4.100272655,4.100272655,,,,,,,4.121167564,4.100272655,4.165002823
200,,,,,,,,,,,,,4.165002823,4.165002823,4.165002823,4.12289362,4.107184887,4.165002823
202,,,,4.125944614,4.125944614,4.125944614,,,,,,,,,,4.110211754,4.101593494,4.125944614
228,4.107432842,4.107432842,4.107432842,,,,,,,,,,,,,4.098650455,4.068138123,4.108902931
243,,,,,,,,,,,,,4.107184887,4.107184887,4.107184887,4.10019846,4.068138123,4.115172863
253,,,,4.108902931,4.108902931,4.108902931,,,,,,,,,,4.093487263,4.068138123,4.115172863
295,,,,4.101593494,4.101593494,4.101593494,,,,,,,,,,4.074317837,4.013055801,4.115172863
296,4.068138123,4.068138123,4.068138123,,,,,,,,,,,,,4.053399467,3.997001648,4.115172863
341,,,,4.115172863,4.115172863,4.115172863,,,,,,,,,,4.035802221,3.980151892,4.115172863
356,,,,,,,,,,,,,4.073628902,4.073628902,4.073628902,4.004607201,3.95919776,4.073628902
377,,,,4.013055801,4.013055801,4.013055801,,,,,,,,,,3.993535519,3.95919776,4.018270493
395,3.997001648,3.997001648,3.997001648,,,,,,,,,,,,,3.979837561,3.944566011,4.018270493
409,,,,,,,,,,,,,3.980151892,3.980151892,3.980151892,3.967667103,3.936149359,4.018270493
