Step,"Group: femnist - Client #96, train_avg_loss","Group: femnist - Client #96, train_avg_loss__MIN","Group: femnist - Client #96, train_avg_loss__MAX","Group: femnist - Client #58, train_avg_loss","Group: femnist - Client #58, train_avg_loss__MIN","Group: femnist - Client #58, train_avg_loss__MAX","Group: femnist - Client #99, train_avg_loss","Group: femnist - Client #99, train_avg_loss__MIN","Group: femnist - Client #99, train_avg_loss__MAX","Group: femnist - Client #56, train_avg_loss","Group: femnist - Client #56, train_avg_loss__MIN","Group: femnist - Client #56, train_avg_loss__MAX","Group: femnist - Client #71, train_avg_loss","Group: femnist - Client #71, train_avg_loss__MIN","Group: femnist - Client #71, train_avg_loss__MAX",avg,min,max
34,,,,4.100289822,4.100289822,4.100289822,,,,,,,,,,4.059256554,3.992894173,4.123699188
47,,,,,,,,,,,,,4.123699188,4.123699188,4.123699188,4.024056864,3.924291372,4.123699188
145,,,,4.028467178,4.028467178,4.028467178,,,,,,,,,,3.971209908,3.859464407,4.050932407
156,,,,,,,,,,,,,4.050932407,4.050932407,4.050932407,3.954474306,3.859464407,4.050932407
172,3.992894173,3.992894173,3.992894173,,,,,,,,,,,,,3.884704351,3.702082634,3.992894173
219,3.924291372,3.924291372,3.924291372,,,,,,,,,,,,,3.828814411,3.702082634,3.944789171
288,,,,3.859464407,3.859464407,3.859464407,,,,,,,,,,3.781251621,3.686477423,3.944789171
290,,,,,,,3.944789171,3.944789171,3.944789171,,,,,,,3.737743187,3.641922235,3.944789171
292,3.702082634,3.702082634,3.702082634,,,,,,,,,,,,,3.65655117,3.538829088,3.713444471
293,,,,,,,,,,3.713444471,3.713444471,3.713444471,,,,3.593862724,3.388640404,3.713444471
298,,,,,,,,,,,,,3.686477423,3.686477423,3.686477423,3.46553688,3.071815252,3.686477423
329,,,,3.641922235,3.641922235,3.641922235,,,,,,,,,,3.362854385,3.071815252,3.641922235
337,,,,,,,,,,3.538829088,3.538829088,3.538829088,,,,3.256837416,3.071815252,3.538829088
414,,,,,,,,,,,,,3.388640404,3.388640404,3.388640404,3.171649504,3.071815252,3.388640404
415,,,,,,,,,,3.071815252,3.071815252,3.071815252,,,,3.098995638,3.025371075,3.173064947
421,3.173064947,3.173064947,3.173064947,,,,,,,,,,,,,3.081838417,2.986029148,3.173064947
430,,,,3.111837387,3.111837387,3.111837387,,,,,,,,,,3.060239077,2.986029148,3.112889528
456,3.112889528,3.112889528,3.112889528,,,,,,,,,,,,,3.062526035,2.986029148,3.123272181
459,,,,,,,,,,3.025371075,3.025371075,3.025371075,,,,3.057036829,2.986029148,3.123272181
522,,,,,,,,,,2.986029148,2.986029148,2.986029148,,,,3.110582066,2.986029148,3.293097258
542,,,,,,,,,,,,,3.065068245,3.065068245,3.065068245,3.120467615,3.035456896,3.293097258
555,,,,,,,,,,3.123272181,3.123272181,3.123272181,,,,3.132152987,3.035456896,3.293097258
628,,,,,,,3.085443497,3.085443497,3.085443497,,,,,,,3.173717976,3.035456896,3.331097126
637,,,,,,,,,,3.293097258,3.293097258,3.293097258,,,,3.179283714,3.035456896,3.331097126
655,3.035456896,3.035456896,3.035456896,,,,,,,,,,,,,3.160312128,3.035456896,3.331097126
659,,,,,,,3.123495102,3.123495102,3.123495102,,,,,,,3.140677929,2.9372859,3.331097126
670,,,,,,,,,,,,,3.331097126,3.331097126,3.331097126,3.119211292,2.9372859,3.331097126
673,,,,3.11327219,3.11327219,3.11327219,,,,,,,,,,3.063361406,2.9372859,3.198239326
691,,,,,,,3.198239326,3.198239326,3.198239326,,,,,,,3.007897568,2.835952997,3.198239326
700,,,,,,,,,,,,,2.9372859,2.9372859,2.9372859,2.912981796,2.723660469,3.051847696
740,,,,,,,,,,3.016161919,3.016161919,3.016161919,,,,2.844511414,2.594933987,3.051847696
751,,,,,,,,,,,,,3.051847696,3.051847696,3.051847696,2.827317572,2.594933987,3.051847696
793,,,,,,,,,,2.835952997,2.835952997,2.835952997,,,,2.783755016,2.594933987,2.930192709
812,,,,,,,2.723660469,2.723660469,2.723660469,,,,,,,2.851458788,2.594933987,3.174471855
815,,,,2.594933987,2.594933987,2.594933987,,,,,,,,,,2.874001741,2.594933987,3.174471855
817,2.930192709,2.930192709,2.930192709,,,,,,,,,,,,,2.912233925,2.786094904,3.174471855
834,,,,,,,,,,2.83403492,2.83403492,2.83403492,,,,2.943379402,2.786094904,3.174471855
838,,,,,,,,,,,,,3.174471855,3.174471855,3.174471855,2.938254547,2.786094904,3.174471855
848,,,,,,,2.836375237,2.836375237,2.836375237,,,,,,,2.779343271,2.379915476,3.085920095
885,,,,2.786094904,2.786094904,2.786094904,,,,,,,,,,2.730864382,2.379915476,3.085920095
897,,,,,,,3.085920095,3.085920095,3.085920095,,,,,,,2.801474047,2.379915476,3.139143229
914,2.808410645,2.808410645,2.808410645,,,,,,,,,,,,,2.727435875,2.379915476,3.139143229
945,,,,,,,,,,,,,2.379915476,2.379915476,2.379915476,2.710745621,2.379915476,3.139143229
949,,,,,,,2.593980789,2.593980789,2.593980789,,,,,,,2.793110085,2.593980789,3.139143229
962,,,,3.139143229,3.139143229,3.139143229,,,,,,,,,,2.748253727,2.369699001,3.139143229
982,,,,,,,,,,2.715729237,2.715729237,2.715729237,,,,2.668928623,2.369699001,2.791737795
994,,,,,,,,,,,,,2.724959373,2.724959373,2.724959373,2.696705914,2.369699001,2.854615688
1041,,,,2.791737795,2.791737795,2.791737795,,,,,,,,,,2.70566659,2.369699001,2.854615688
1044,,,,,,,2.369699001,2.369699001,2.369699001,,,,,,,2.613550186,2.331155777,2.854615688
1050,2.74251771,2.74251771,2.74251771,,,,,,,,,,,,,2.65189271,2.331155777,2.854615688
1068,,,,,,,,,,,,,2.854615688,2.854615688,2.854615688,2.538219357,2.174150944,2.854615688
1112,,,,,,,,,,,,,2.769762754,2.769762754,2.769762754,2.36681366,1.997587204,2.769762754
1114,2.331155777,2.331155777,2.331155777,,,,,,,,,,,,,2.188451362,1.877951264,2.561411619
1156,,,,2.561411619,2.561411619,2.561411619,,,,,,,,,,2.266309476,1.877951264,2.720446348
1172,,,,,,,2.174150944,2.174150944,2.174150944,,,,,,,2.236556602,1.877951264,2.720446348
1202,,,,,,,1.997587204,1.997587204,1.997587204,,,,,,,2.199049258,1.877951264,2.720446348
1204,,,,,,,,,,1.877951264,1.877951264,1.877951264,,,,2.18283174,1.877951264,2.720446348
