Step,nbafl,adaclip1,fixdps,mapas
159,0.077064275,0.115827183,0.173798695,0.075749484
260,0.077064275,0.191653211,0.261863813,0.078178026
361,0.077064275,0.290280453,0.545826002,0.140686569
462,0.099477082,0.333912471,0.604296461,0.223631253
563,0.16699569,0.31718448,0.652078586,0.191083378
664,0.18883953,0.502451266,0.41444891,0.220042072
765,0.178478519,0.642818816,0.626491917,0.191537772
866,0.160042469,0.64382502,0.655771501,0.238305421
967,0.144906194,0.637296382,0.695133826,0.402753697
1068,0.146423962,0.595012391,0.666709166,0.322233698
1169,0.159496752,0.673156534,0.684682912,0.300485931
1270,0.150059612,0.714731683,0.702212825,0.346118496
1371,0.147040004,0.729679248,0.702899253,0.468511663
1472,0.200573132,0.763297239,0.638381826,0.07029942
1573,0.194107383,0.702856501,0.718863151,0.316980894
1674,0.161983249,0.738200035,0.721706778,0.520610453
1775,0.204400101,0.766577316,0.689681398,0.663310977
1876,0.184704865,0.759841109,0.724497747,0.699001906
1977,0.172522493,0.765550259,0.70102248,0.551505891
2078,0.170510304,0.760269461,0.760607906,0.722362071
2179,0.219641136,0.763742476,0.753573651,0.616799768
2280,0.308169021,0.749464217,0.771249694,0.693325912
2381,0.23880275,0.803397457,0.753173333,0.802192869
2482,0.378660645,0.782010986,0.766517573,0.530445391
2583,0.183508058,0.745602666,0.761200672,0.76975712
2684,0.329718207,0.775939682,0.773684436,0.722029558
2785,0.148285919,0.798418975,0.769560063,0.722974966
2886,0.234563705,0.798755506,0.762482648,0.746209715
2987,0.294380798,0.796790085,0.759196089,0.730529509
3088,0.175156996,0.795897672,0.75827078,0.752561174
3189,0.424860349,0.792059101,0.754311619,0.789840384
3290,0.428353345,0.80213373,0.781921541,0.790532804
3391,0.52839007,0.725253421,0.753029011,0.78233749
3492,0.324706444,0.794343683,0.773576712,0.792053867
3593,0.353523453,0.800950785,0.787913916,0.805725297
3694,0.328890168,0.793470661,0.760797335,0.800756125
3795,0.234546267,0.778461268,0.791422507,0.775693805
3896,0.337404474,0.799696873,0.801035719,0.791974401
3997,0.222388555,0.798218224,0.721967579,0.789229703
4098,0.373334727,0.778080774,0.735429559,0.794058164
4199,0.439970004,0.801044109,0.788725534,0.776724936
4300,0.427967616,0.79678539,0.777851404,0.802418108
4401,0.557517423,0.805904163,0.756511181,0.765523371
4502,0.268373251,0.80597177,0.776579937,0.800404225
4603,0.420240604,0.794651505,0.778957689,0.787558872
4704,0.361993108,0.810714675,0.78338815,0.785589124
4805,0.510669432,0.803601146,0.748113039,0.792547646
4906,0.446121421,0.808200252,0.777286402,0.772721956
5007,0.550539386,0.811374777,0.798160605,0.805694913
5108,0.325949144,0.818010513,0.766067391,0.78710037
5209,0.332464912,0.821739261,0.78368608,0.786211108
5310,0.644013982,0.819157418,0.782375613,0.794799429
5411,0.313863862,0.780639037,0.800355671,0.800900957
5512,0.437546544,0.787013265,0.784802212,0.817357326
5613,0.247400295,0.814106152,0.786714149,0.799928639
5714,0.329964338,0.816381729,0.800854801,0.804132573
5815,0.526639926,0.784707107,0.747377386,0.816219988
5916,0.542332716,0.805903434,0.794444703,0.800404351
6017,0.474983293,0.81426856,0.778695368,0.817381429
