Step,"Group: femnist - Client #96, train_avg_loss","Group: femnist - Client #96, train_avg_loss__MIN","Group: femnist - Client #96, train_avg_loss__MAX","Group: femnist - Client #58, train_avg_loss","Group: femnist - Client #58, train_avg_loss__MIN","Group: femnist - Client #58, train_avg_loss__MAX","Group: femnist - Client #99, train_avg_loss","Group: femnist - Client #99, train_avg_loss__MIN","Group: femnist - Client #99, train_avg_loss__MAX","Group: femnist - Client #56, train_avg_loss","Group: femnist - Client #56, train_avg_loss__MIN","Group: femnist - Client #56, train_avg_loss__MAX","Group: femnist - Client #71, train_avg_loss","Group: femnist - Client #71, train_avg_loss__MIN","Group: femnist - Client #71, train_avg_loss__MAX",avg,min,max
34,,,,4.100289822,4.100289822,4.100289822,,,,,,,,,,3.825546551,3.531155109,4.100289822
47,,,,,,,,,,,,,4.086444378,4.086444378,4.086444378,3.671573877,3.330426455,4.086444378
145,,,,3.732488632,3.732488632,3.732488632,,,,,,,,,,3.476028538,3.10871768,3.732488632
156,,,,,,,,,,,,,3.677354813,3.677354813,3.677354813,3.358030891,3.10871768,3.677354813
172,3.531155109,3.531155109,3.531155109,,,,,,,,,,,,,3.234405899,3.059229851,3.531155109
219,3.330426455,3.330426455,3.330426455,,,,,,,,,,,,,3.123260117,2.975426197,3.330426455
288,,,,3.10871768,3.10871768,3.10871768,,,,,,,,,,3.074382544,2.975426197,3.142500401
290,,,,,,,3.142500401,3.142500401,3.142500401,,,,,,,3.05897193,2.975426197,3.142500401
292,3.059229851,3.059229851,3.059229851,,,,,,,,,,,,,2.995253563,2.823908567,3.086038589
293,,,,,,,,,,2.975426197,2.975426197,2.975426197,,,,2.990078735,2.823908567,3.086038589
298,,,,,,,,,,,,,3.086038589,3.086038589,3.086038589,2.966411829,2.823908567,3.086038589
329,,,,3.03166461,3.03166461,3.03166461,,,,,,,,,,2.915655422,2.823908567,3.033355713
337,,,,,,,,,,2.823908567,2.823908567,2.823908567,,,,2.937791348,2.823908567,3.142344236
414,,,,,,,,,,,,,3.033355713,3.033355713,3.033355713,2.992392302,2.832256556,3.142344236
415,,,,,,,,,,2.857091665,2.857091665,2.857091665,,,,2.93293972,2.736092806,3.142344236
421,2.832256556,2.832256556,2.832256556,,,,,,,,,,,,,2.979145718,2.736092806,3.142344236
430,,,,3.142344236,3.142344236,3.142344236,,,,,,,,,,3.003256941,2.736092806,3.142344236
456,3.096913338,3.096913338,3.096913338,,,,,,,,,,,,,2.946892691,2.736092806,3.096913338
459,,,,,,,,,,2.736092806,2.736092806,2.736092806,,,,2.848167086,2.603285313,3.088121653
522,,,,,,,,,,3.088121653,3.088121653,3.088121653,,,,2.805505562,2.522785187,3.088121653
542,,,,,,,,,,,,,2.952812672,2.952812672,2.952812672,2.760274601,2.522785187,2.952812672
555,,,,,,,,,,2.860522985,2.860522985,2.860522985,,,,2.749111509,2.522785187,2.896997213
628,,,,,,,2.603285313,2.603285313,2.603285313,,,,,,,2.804339981,2.522785187,3.136665344
637,,,,,,,,,,2.522785187,2.522785187,2.522785187,,,,2.869568539,2.522785187,3.136665344
655,2.861966848,2.861966848,2.861966848,,,,,,,,,,,,,2.885169077,2.600787878,3.136665344
659,,,,,,,2.896997213,2.896997213,2.896997213,,,,,,,2.84715147,2.600787878,3.136665344
670,,,,,,,,,,,,,3.136665344,3.136665344,3.136665344,2.822540426,2.600787878,3.136665344
673,,,,2.929428101,2.929428101,2.929428101,,,,,,,,,,2.799184465,2.600787878,3.01988554
691,,,,,,,2.600787878,2.600787878,2.600787878,,,,,,,2.804503155,2.600787878,3.01988554
700,,,,,,,,,,,,,2.671878815,2.671878815,2.671878815,2.747003984,2.313292027,3.01988554
740,,,,,,,,,,2.773941994,2.773941994,2.773941994,,,,2.640749645,2.140607119,3.01988554
751,,,,,,,,,,,,,3.01988554,3.01988554,3.01988554,2.605686998,2.140607119,3.01988554
793,,,,,,,,,,2.956021547,2.956021547,2.956021547,,,,2.49335289,2.140607119,2.956021547
812,,,,,,,2.313292027,2.313292027,2.313292027,,,,,,,2.450496483,2.140607119,2.741739511
815,,,,2.140607119,2.140607119,2.140607119,,,,,,,,,,2.502504969,2.140607119,2.741739511
817,2.598628759,2.598628759,2.598628759,,,,,,,,,,,,,2.505411625,2.1551404,2.741739511
834,,,,,,,,,,2.458214998,2.458214998,2.458214998,,,,2.443966866,2.1551404,2.741739511
838,,,,,,,,,,,,,2.741739511,2.741739511,2.741739511,2.462060833,2.1551404,2.741739511
848,,,,,,,2.573334455,2.573334455,2.573334455,,,,,,,2.357540798,2.1551404,2.573334455
885,,,,2.1551404,2.1551404,2.1551404,,,,,,,,,,2.276268482,2.1551404,2.548684835
897,,,,,,,2.291404963,2.291404963,2.291404963,,,,,,,2.348782921,2.166972876,2.548684835
914,2.548684835,2.548684835,2.548684835,,,,,,,,,,,,,2.423763514,2.166972876,2.666307926
945,,,,,,,,,,,,,2.219139338,2.219139338,2.219139338,2.456564474,2.166972876,2.712689638
949,,,,,,,2.166972876,2.166972876,2.166972876,,,,,,,2.509943151,2.166972876,2.712689638
962,,,,2.517712593,2.517712593,2.517712593,,,,,,,,,,2.507686234,2.155688286,2.712689638
982,,,,,,,,,,2.666307926,2.666307926,2.666307926,,,,2.441520643,2.155688286,2.712689638
994,,,,,,,,,,,,,2.712689638,2.712689638,2.712689638,2.448183918,2.155688286,2.712689638
1041,,,,2.486032724,2.486032724,2.486032724,,,,,,,,,,2.451906109,2.155688286,2.731300592
1044,,,,,,,2.155688286,2.155688286,2.155688286,,,,,,,2.364513493,2.049069643,2.731300592
1050,2.186884642,2.186884642,2.186884642,,,,,,,,,,,,,2.394496965,2.049069643,2.731300592
1068,,,,,,,,,,,,,2.6996243,2.6996243,2.6996243,2.332623911,1.877519369,2.731300592
1112,,,,,,,,,,,,,2.731300592,2.731300592,2.731300592,2.153754997,1.805279732,2.731300592
1114,2.049069643,2.049069643,2.049069643,,,,,,,,,,,,,1.943726134,1.681156278,2.30560565
1156,,,,2.30560565,2.30560565,2.30560565,,,,,,,,,,2.060873961,1.681156278,2.634808779
1172,,,,,,,1.877519369,1.877519369,1.877519369,,,,,,,2.083416629,1.681156278,2.634808779
1202,,,,,,,1.805279732,1.805279732,1.805279732,,,,,,,2.095406508,1.681156278,2.634808779
1204,,,,,,,,,,1.681156278,1.681156278,1.681156278,,,,2.119553041,1.681156278,2.634808779
1222,2.634808779,2.634808779,2.634808779,,,,,,,,,,,,,2.25812223,1.926012397,2.634808779
1258,,,,,,,,,,2.418318987,2.418318987,2.418318987,,,,2.170865273,1.926012397,2.418318987
1265,,,,1.937468767,1.937468767,1.937468767,,,,,,,,,,2.151350522,1.926012397,2.374002218
1274,,,,,,,1.926012397,1.926012397,1.926012397,,,,,,,2.179619861,1.926012397,2.374002218
1275,2.374002218,2.374002218,2.374002218,,,,,,,,,,,,,2.191191244,1.983869314,2.374002218
1306,2.198523998,2.198523998,2.198523998,,,,,,,,,,,,,2.167313766,1.983869314,2.32074523
1342,2.32074523,2.32074523,2.32074523,,,,,,,,,,,,,2.221908045,1.983869314,2.47149539
1360,,,,,,,,,,2.07881546,2.07881546,2.07881546,,,,2.106290746,1.742658734,2.47149539
1361,,,,1.983869314,1.983869314,1.983869314,,,,,,,,,,2.0727947,1.742658734,2.47149539
1368,,,,,,,2.25461483,2.25461483,2.25461483,,,,,,,2.041449404,1.742658734,2.47149539
1380,,,,,,,,,,,,,2.47149539,2.47149539,2.47149539,1.939877868,1.742658734,2.47149539
1418,,,,,,,1.742658734,1.742658734,1.742658734,,,,,,,1.817192245,1.742658734,1.91133523
1436,1.91133523,1.91133523,1.91133523,,,,,,,,,,,,,1.882135582,1.74675715,2.067375422
1444,,,,,,,,,,1.827142835,1.827142835,1.827142835,,,,1.958444262,1.74675715,2.292878628
1448,,,,,,,1.74675715,1.74675715,1.74675715,,,,,,,1.908289838,1.576370716,2.292878628
1454,,,,,,,,,,,,,1.858067274,1.858067274,1.858067274,1.947104526,1.576370716,2.292878628
1482,,,,,,,,,,2.067375422,2.067375422,2.067375422,,,,1.985024381,1.576370716,2.292878628
1512,2.292878628,2.292878628,2.292878628,,,,,,,,,,,,,1.960843801,1.576370716,2.292878628
1523,,,,1.576370716,1.576370716,1.576370716,,,,,,,,,,1.869529867,1.576370716,2.04766655
1531,,,,,,,1.940830588,1.940830588,1.940830588,,,,,,,1.887147808,1.664460421,2.04766655
1551,2.04766655,2.04766655,2.04766655,,,,,,,,,,,,,1.891548634,1.664460421,2.04766655
1562,,,,,,,1.946472526,1.946472526,1.946472526,,,,,,,1.826283288,1.664460421,1.962834716
1578,,,,1.836308956,1.836308956,1.836308956,,,,,,,,,,1.83803153,1.664460421,2.005213737
1591,1.664460421,1.664460421,1.664460421,,,,,,,,,,,,,1.973121691,1.664460421,2.511759758
1603,,,,,,,,,,1.962834716,1.962834716,1.962834716,,,,2.025673413,1.721339822,2.511759758
1613,,,,,,,1.721339822,1.721339822,1.721339822,,,,,,,2.042684221,1.721339822,2.511759758
1633,,,,,,,,,,2.005213737,2.005213737,2.005213737,,,,2.086457777,1.927219033,2.511759758
1656,,,,,,,,,,,,,2.511759758,2.511759758,2.511759758,2.073329186,1.927219033,2.511759758
1675,,,,1.927219033,1.927219033,1.927219033,,,,,,,,,,1.929820251,1.794215083,2.047888756
1702,2.047888756,2.047888756,2.047888756,,,,,,,,,,,,,1.900085902,1.778547287,2.047888756
1709,,,,,,,1.940207601,1.940207601,1.940207601,,,,,,,1.882517672,1.778547287,1.960047603
1720,,,,,,,,,,,,,1.939570785,1.939570785,1.939570785,1.864946175,1.778547287,1.960047603
1752,,,,1.794215083,1.794215083,1.794215083,,,,,,,,,,1.921367908,1.778547287,2.221679449
1766,,,,,,,1.778547287,1.778547287,1.778547287,,,,,,,2.006130505,1.778547287,2.221679449
1770,,,,,,,,,,,,,1.960047603,1.960047603,1.960047603,1.962386084,1.559825182,2.221679449
1774,,,,,,,,,,1.852350116,1.852350116,1.852350116,,,,1.897577,1.559825182,2.221679449
1782,2.221679449,2.221679449,2.221679449,,,,,,,,,,,,,1.870273757,1.559825182,2.221679449
1819,,,,,,,,,,,,,2.218028069,2.218028069,2.218028069,1.836953712,1.559825182,2.218028069
1849,,,,1.559825182,1.559825182,1.559825182,,,,,,,,,,1.719726372,1.559825182,2.055079222
1886,1.636002183,1.636002183,1.636002183,,,,,,,,,,,,,1.706509852,1.493742585,2.055079222
1920,,,,,,,1.715833902,1.715833902,1.715833902,,,,,,,1.757311773,1.493742585,2.055079222
1923,,,,,,,,,,,,,2.055079222,2.055079222,2.055079222,1.737696505,1.493742585,2.055079222
1927,,,,1.63189137,1.63189137,1.63189137,,,,,,,,,,1.652022886,1.493742585,1.890011787
1949,1.493742585,1.493742585,1.493742585,,,,,,,,,,,,,1.639941716,1.493742585,1.890011787
1951,,,,,,,,,,1.890011787,1.890011787,1.890011787,,,,1.699947548,1.571485519,1.890011787
1963,,,,,,,,,,,,,1.617757559,1.617757559,1.617757559,1.675630426,1.571485519,1.793771744
1986,1.62671113,1.62671113,1.62671113,,,,,,,,,,,,,1.671769762,1.571485519,1.793771744
2013,,,,,,,1.571485519,1.571485519,1.571485519,,,,,,,1.670302868,1.571485519,1.793771744
2025,1.793771744,1.793771744,1.793771744,,,,,,,,,,,,,1.732099581,1.598454237,1.880469084
2031,,,,1.76842618,1.76842618,1.76842618,,,,,,,,,,1.710413384,1.598454237,1.880469084
2066,,,,1.598454237,1.598454237,1.598454237,,,,,,,,,,1.701673508,1.598454237,1.880469084
2067,,,,,,,1.619376659,1.619376659,1.619376659,,,,,,,1.668752861,1.433851004,1.880469084
2124,1.880469084,1.880469084,1.880469084,,,,,,,,,,,,,1.619378352,1.372504115,1.880469084
2130,,,,,,,,,,,,,1.685340762,1.685340762,1.685340762,1.560836577,1.372504115,1.724726796
2149,,,,,,,1.724726796,1.724726796,1.724726796,,,,,,,1.543682623,1.372504115,1.724726796
2179,,,,,,,1.433851004,1.433851004,1.433851004,,,,,,,1.577600169,1.372504115,1.894314528
2183,,,,1.372504115,1.372504115,1.372504115,,,,,,,,,,1.62395823,1.372504115,1.894314528
2202,,,,,,,,,,1.58776021,1.58776021,1.58776021,,,,1.71412437,1.58776021,1.894314528
2225,,,,,,,1.59957099,1.59957099,1.59957099,,,,,,,1.783238912,1.59957099,1.93333292
2299,,,,,,,,,,1.894314528,1.894314528,1.894314528,,,,1.728230333,1.324528098,1.93333292
2324,,,,1.665641308,1.665641308,1.665641308,,,,,,,,,,1.721453834,1.324528098,1.93333292
2328,1.823334813,1.823334813,1.823334813,,,,,,,,,,,,,1.641022682,1.263485551,1.93333292
2370,,,,,,,,,,,,,1.93333292,1.93333292,1.93333292,1.531060648,1.263485551,1.93333292
2402,,,,1.324528098,1.324528098,1.324528098,,,,,,,,,,1.509410024,1.263485551,1.860432029
2413,1.860432029,1.860432029,1.860432029,,,,,,,,,,,,,1.465406466,1.104510307,1.860432029
2453,,,,1.263485551,1.263485551,1.263485551,,,,,,,,,,1.350654078,1.104510307,1.825079799
2493,,,,,,,1.273524642,1.273524642,1.273524642,,,,,,,1.389120555,1.104510307,1.825079799
2505,,,,,,,,,,,,,1.825079799,1.825079799,1.825079799,1.431535673,1.104510307,1.825079799
2520,,,,,,,,,,1.104510307,1.104510307,1.104510307,,,,1.383790207,1.104510307,1.586352468
2532,,,,,,,1.286670089,1.286670089,1.286670089,,,,,,,1.42945745,1.286670089,1.586352468
2553,,,,,,,,,,1.455817938,1.455817938,1.455817938,,,,1.575638151,1.332846522,2.017573595
2565,1.485600233,1.485600233,1.485600233,,,,,,,,,,,,,1.597963643,1.332846522,2.017573595
2568,,,,,,,,,,,,,1.586352468,1.586352468,1.586352468,1.626977015,1.332846522,2.017573595
2629,,,,1.332846522,1.332846522,1.332846522,,,,,,,,,,1.647610664,1.332846522,2.017573595
2646,,,,,,,,,,,,,2.017573595,2.017573595,2.017573595,1.67317481,1.460667253,2.017573595
2656,,,,,,,,,,1.567445397,1.567445397,1.567445397,,,,1.500573659,1.154567838,1.689520717
2665,,,,1.63066709,1.63066709,1.63066709,,,,,,,,,,1.500478005,1.154567838,1.689520717
2694,1.689520717,1.689520717,1.689520717,,,,,,,,,,,,,1.447401738,1.154567838,1.689520717
2713,,,,1.460667253,1.460667253,1.460667253,,,,,,,,,,1.454590249,1.154567838,1.725463271
2734,,,,,,,,,,1.154567838,1.154567838,1.154567838,,,,1.531668496,1.154567838,1.846058488
2771,,,,,,,1.56696713,1.56696713,1.56696713,,,,,,,1.636828899,1.365285754,1.846058488
2830,,,,1.365285754,1.365285754,1.365285754,,,,,,,,,,1.641710854,1.365285754,1.846058488
2834,1.725463271,1.725463271,1.725463271,,,,,,,,,,,,,1.681813025,1.565796614,1.846058488
2836,,,,,,,,,,1.846058488,1.846058488,1.846058488,,,,1.588025808,1.256527185,1.846058488
2862,,,,1.680369854,1.680369854,1.680369854,,,,,,,,,,1.525536823,1.256527185,1.680369854
2885,1.591376901,1.591376901,1.591376901,,,,,,,,,,,,,1.471423173,1.256527185,1.591376901
2906,,,,,,,,,,,,,1.565796614,1.565796614,1.565796614,1.526988411,1.256527185,1.869203091
2908,,,,1.256527185,1.256527185,1.256527185,,,,,,,,,,1.503253722,1.256527185,1.869203091
2938,,,,,,,1.533613563,1.533613563,1.533613563,,,,,,,1.531414366,1.397330403,1.869203091
2939,,,,1.409801602,1.409801602,1.409801602,,,,,,,,,,1.559344339,1.397330403,1.869203091
2942,,,,,,,,,,,,,1.869203091,1.869203091,1.869203091,1.532112718,1.273643494,1.869203091
2967,,,,,,,,,,1.44712317,1.44712317,1.44712317,,,,1.473865795,1.273643494,1.673263431
2975,,,,,,,1.397330403,1.397330403,1.397330403,,,,,,,1.498206234,1.273643494,1.673263431
2977,1.673263431,1.673263431,1.673263431,,,,,,,,,,,,,1.517811942,1.273643494,1.673263431
3014,,,,1.273643494,1.273643494,1.273643494,,,,,,,,,,1.550898457,1.273643494,1.838696003
3021,,,,,,,,,,,,,1.577968478,1.577968478,1.577968478,1.619418478,1.495358944,1.838696003
3055,,,,,,,,,,,,,1.568825364,1.568825364,1.568825364,1.573720741,1.349479795,1.838696003
3092,1.495358944,1.495358944,1.495358944,,,,,,,,,,,,,1.524762154,1.324032426,1.838696003
3115,,,,,,,,,,,,,1.838696003,1.838696003,1.838696003,1.569764352,1.324032426,1.838696003
3127,,,,,,,1.616243601,1.616243601,1.616243601,,,,,,,1.486452222,1.324032426,1.720369935
3149,,,,1.349479795,1.349479795,1.349479795,,,,,,,,,,1.43294332,1.324032426,1.720369935
3193,,,,,,,,,,1.324032426,1.324032426,1.324032426,,,,1.426363897,1.31658268,1.720369935
3195,,,,,,,,,,,,,1.720369935,1.720369935,1.720369935,1.429808736,1.31658268,1.720369935
3223,,,,1.422135353,1.422135353,1.422135353,,,,,,,,,,1.416196585,1.31658268,1.652309179
3268,,,,,,,,,,1.348699093,1.348699093,1.348699093,,,,1.381819534,1.250250101,1.652309179
3277,1.31658268,1.31658268,1.31658268,,,,,,,,,,,,,1.402999377,1.250250101,1.652309179
3279,,,,1.341256618,1.341256618,1.341256618,,,,,,,,,,1.32779187,0.940545142,1.652309179
3298,,,,,,,,,,,,,1.652309179,1.652309179,1.652309179,1.336045873,0.940545142,1.652309179
3314,,,,,,,1.250250101,1.250250101,1.250250101,,,,,,,1.35004524,0.940545142,1.722306013
3321,1.454598308,1.454598308,1.454598308,,,,,,,,,,,,,1.397133625,0.940545142,1.722306013
3330,,,,,,,,,,0.940545142,0.940545142,0.940545142,,,,1.361058009,0.940545142,1.722306013
3345,,,,1.382526636,1.382526636,1.382526636,,,,,,,,,,1.452375126,1.274220228,1.722306013
3353,1.722306013,1.722306013,1.722306013,,,,,,,,,,,,,1.444790077,1.274220228,1.722306013
3358,,,,,,,1.485692024,1.485692024,1.485692024,,,,,,,1.402157664,1.274220228,1.509143949
3363,,,,,,,,,,1.274220228,1.274220228,1.274220228,,,,1.427581286,1.274220228,1.612810135
3366,,,,,,,,,,,,,1.397130728,1.397130728,1.397130728,1.42382741,1.255450845,1.612810135
3398,,,,,,,1.344601393,1.344601393,1.344601393,,,,,,,1.396440291,1.255450845,1.612810135
3407,,,,,,,,,,,,,1.509143949,1.509143949,1.509143949,1.433853149,1.255450845,1.612810135
3412,1.612810135,1.612810135,1.612810135,,,,,,,,,,,,,1.419457245,1.255450845,1.612810135
3437,,,,,,,,,,1.255450845,1.255450845,1.255450845,,,,1.373436069,1.255450845,1.531665683
3455,1.260195136,1.260195136,1.260195136,,,,,,,,,,,,,1.392660356,1.260195136,1.531665683
3477,,,,,,,,,,1.531665683,1.531665683,1.531665683,,,,1.446906614,1.351572275,1.531665683
3496,1.437164426,1.437164426,1.437164426,,,,,,,,,,,,,1.453308082,1.351572275,1.563673019
3519,,,,,,,1.382704258,1.382704258,1.382704258,,,,,,,1.442308044,1.351572275,1.563673019
3563,,,,,,,,,,1.351572275,1.351572275,1.351572275,,,,1.415541792,1.248872995,1.563673019
3569,,,,,,,,,,,,,1.53142643,1.53142643,1.53142643,1.44000392,1.248872995,1.563673019
