Step,"Group: femnist - Client #13, train_avg_loss","Group: femnist - Client #13, train_avg_loss__MIN","Group: femnist - Client #13, train_avg_loss__MAX","Group: femnist - Client #19, train_avg_loss","Group: femnist - Client #19, train_avg_loss__MIN","Group: femnist - Client #19, train_avg_loss__MAX","Group: femnist - Client #50, train_avg_loss","Group: femnist - Client #50, train_avg_loss__MIN","Group: femnist - Client #50, train_avg_loss__MAX","Group: femnist - Client #18, train_avg_loss","Group: femnist - Client #18, train_avg_loss__MIN","Group: femnist - Client #18, train_avg_loss__MAX","Group: femnist - Client #33, train_avg_loss","Group: femnist - Client #33, train_avg_loss__MIN","Group: femnist - Client #33, train_avg_loss__MAX",avg,min,max
12,,,,,,,,,,4.127284527,4.127284527,4.127284527,,,,4.109356213,4.032120705,4.142564297
13,4.135080814,4.135080814,4.135080814,,,,,,,,,,,,,4.105754757,4.032120705,4.142564297
22,,,,,,,,,,,,,4.142564297,4.142564297,4.142564297,4.095198059,4.032120705,4.142564297
44,,,,4.109730721,4.109730721,4.109730721,,,,,,,,,,4.071207809,4.022613049,4.109730721
45,,,,,,,4.032120705,4.032120705,4.032120705,,,,,,,4.045640612,3.981894732,4.109277248
46,4.109277248,4.109277248,4.109277248,,,,,,,,,,,,,4.036588955,3.981894732,4.109277248
55,,,,,,,,,,,,,4.082297325,4.082297325,4.082297325,3.993589497,3.894279957,4.082297325
61,,,,,,,,,,4.022613049,4.022613049,4.022613049,,,,3.954876137,3.888730526,4.022613049
76,,,,,,,3.981894732,3.981894732,3.981894732,,,,,,,3.923911238,3.867788553,3.986862421
84,3.986862421,3.986862421,3.986862421,,,,,,,,,,,,,3.895400858,3.839342833,3.986862421
106,,,,,,,3.894279957,3.894279957,3.894279957,,,,,,,3.839622736,3.707971811,3.894279957
109,,,,3.888730526,3.888730526,3.888730526,,,,,,,,,,3.812540817,3.707971811,3.888730526
118,,,,,,,,,,,,,3.867788553,3.867788553,3.867788553,3.759605646,3.62405467,3.867788553
123,3.839342833,3.839342833,3.839342833,,,,,,,,,,,,,3.72579298,3.62405467,3.839342833
128,,,,,,,,,,3.707971811,3.707971811,3.707971811,,,,3.671478987,3.567772865,3.758870363
141,,,,,,,3.758870363,3.758870363,3.758870363,,,,,,,3.623050308,3.465828419,3.758870363
154,,,,,,,,,,,,,3.62405467,3.62405467,3.62405467,3.585879755,3.465828419,3.698725224
156,,,,3.698725224,3.698725224,3.698725224,,,,,,,,,,3.589168167,3.465828419,3.698725224
163,3.567772865,3.567772865,3.567772865,,,,,,,,,,,,,3.463715887,3.071463823,3.640496731
164,,,,,,,,,,3.465828419,3.465828419,3.465828419,,,,3.397041368,3.071463823,3.640496731
173,,,,,,,3.573017597,3.573017597,3.573017597,,,,,,,3.366548347,3.071463823,3.640496731
187,,,,3.640496731,3.640496731,3.640496731,,,,,,,,,,3.290249062,3.071463823,3.640496731
199,,,,,,,,,,3.071463823,3.071463823,3.071463823,,,,3.196332264,3.071463823,3.313363314
204,,,,,,,3.234400272,3.234400272,3.234400272,,,,,,,3.141088486,2.795244932,3.313363314
215,,,,,,,,,,,,,3.313363314,3.313363314,3.313363314,3.137648487,2.795244932,3.313363314
226,3.191521168,3.191521168,3.191521168,,,,,,,,,,,,,3.146448803,2.795244932,3.357364893
239,,,,,,,,,,3.170912743,3.170912743,3.170912743,,,,3.098530817,2.795244932,3.357364893
270,,,,,,,2.795244932,2.795244932,2.795244932,,,,,,,3.009293795,2.724727631,3.357364893
277,,,,3.217200279,3.217200279,3.217200279,,,,,,,,,,3.006350803,2.724727631,3.357364893
284,3.357364893,3.357364893,3.357364893,,,,,,,,,,,,,2.950072527,2.724727631,3.357364893
307,,,,2.951931238,2.951931238,2.951931238,,,,,,,,,,2.813961554,2.676810026,2.951931238
310,,,,,,,2.724727631,2.724727631,2.724727631,,,,,,,2.800547457,2.676810026,2.935808897
311,,,,,,,,,,2.780529976,2.780529976,2.780529976,,,,2.803073502,2.676810026,2.935808897
314,2.935808897,2.935808897,2.935808897,,,,,,,,,,,,,2.905242491,2.676810026,3.291374922
319,,,,,,,,,,,,,2.676810026,2.676810026,2.676810026,2.925954819,2.676810026,3.291374922
346,,,,2.884860754,2.884860754,2.884860754,,,,,,,,,,2.974009418,2.737357855,3.291374922
347,2.737357855,2.737357855,2.737357855,,,,,,,,,,,,,3.060577488,2.737357855,3.317701101
349,,,,,,,,,,3.291374922,3.291374922,3.291374922,,,,3.122219563,2.917083025,3.317701101
358,,,,,,,3.039370537,3.039370537,3.039370537,,,,,,,3.068504429,2.917083025,3.317701101
360,,,,,,,,,,,,,2.917083025,2.917083025,2.917083025,3.048428202,2.917083025,3.317701101
387,,,,3.317701101,3.317701101,3.317701101,,,,,,,,,,3.173570061,2.938989401,3.54279232
389,3.045568228,3.045568228,3.045568228,,,,,,,,,,,,,3.200069237,2.938989401,3.54279232
391,,,,,,,,,,,,,3.022799253,3.022799253,3.022799253,3.219226789,2.938989401,3.54279232
