Step,"Group: femnist - Client #96, train_avg_loss","Group: femnist - Client #96, train_avg_loss__MIN","Group: femnist - Client #96, train_avg_loss__MAX","Group: femnist - Client #58, train_avg_loss","Group: femnist - Client #58, train_avg_loss__MIN","Group: femnist - Client #58, train_avg_loss__MAX","Group: femnist - Client #99, train_avg_loss","Group: femnist - Client #99, train_avg_loss__MIN","Group: femnist - Client #99, train_avg_loss__MAX","Group: femnist - Client #56, train_avg_loss","Group: femnist - Client #56, train_avg_loss__MIN","Group: femnist - Client #56, train_avg_loss__MAX","Group: femnist - Client #71, train_avg_loss","Group: femnist - Client #71, train_avg_loss__MIN","Group: femnist - Client #71, train_avg_loss__MAX",avg,min,max
34,,,,4.117030144,4.117030144,4.117030144,,,,,,,,,,4.090062904,4.054778576,4.117030144
47,,,,,,,,,,,,,4.115408897,4.115408897,4.115408897,4.077133369,4.052382469,4.115408897
145,,,,4.075865269,4.075865269,4.075865269,,,,,,,,,,4.05969286,4.028206348,4.087231636
156,,,,,,,,,,,,,4.087231636,4.087231636,4.087231636,4.052004242,4.028206348,4.087231636
173,4.054778576,4.054778576,4.054778576,,,,,,,,,,,,,4.040441036,4.028206348,4.054778576
220,4.052382469,4.052382469,4.052382469,,,,,,,,,,,,,4.035895157,4.028206348,4.052382469
290,,,,4.028206348,4.028206348,4.028206348,,,,,,,,,,4.027385235,4.009832859,4.03742218
292,,,,,,,4.03742218,4.03742218,4.03742218,,,,,,,4.027146435,4.009832859,4.03742218
294,4.029415607,4.029415607,4.029415607,,,,,,,,,,,,,4.023560143,4.009832859,4.032049179
295,,,,,,,,,,4.032049179,4.032049179,4.032049179,,,,4.011779213,3.97051096,4.032049179
300,,,,,,,,,,,,,4.009832859,4.009832859,4.009832859,4.004169559,3.97051096,4.027012348
331,,,,4.027012348,4.027012348,4.027012348,,,,,,,,,,4.005399513,3.97051096,4.027012348
339,,,,,,,,,,4.019490719,4.019490719,4.019490719,,,,4.001756668,3.97051096,4.019490719
417,,,,,,,,,,,,,3.97051096,3.97051096,3.97051096,3.994631195,3.97051096,4.015982628
418,,,,,,,,,,3.994000912,3.994000912,3.994000912,,,,3.993188,3.963294983,4.015982628
424,4.015982628,4.015982628,4.015982628,,,,,,,,,,,,,3.987087774,3.963294983,4.015982628
433,,,,4.008798122,4.008798122,4.008798122,,,,,,,,,,3.974119473,3.951141119,4.008798122
459,3.983863354,3.983863354,3.983863354,,,,,,,,,,,,,3.963396263,3.951141119,3.983863354
463,,,,,,,,,,3.963294983,3.963294983,3.963294983,,,,3.94982667,3.916015387,3.963499784
526,,,,,,,,,,3.963499784,3.963499784,3.963499784,,,,3.941311312,3.916015387,3.963499784
546,,,,,,,,,,,,,3.951141119,3.951141119,3.951141119,3.934228659,3.916015387,3.955182076
559,,,,,,,,,,3.955182076,3.955182076,3.955182076,,,,3.926095676,3.910476208,3.955182076
632,,,,,,,3.916015387,3.916015387,3.916015387,,,,,,,3.913150644,3.890456915,3.928086519
641,,,,,,,,,,3.920718193,3.920718193,3.920718193,,,,3.912470627,3.890456915,3.928086519
659,3.928086519,3.928086519,3.928086519,,,,,,,,,,,,,3.912593889,3.890456915,3.928086519
663,,,,,,,3.910476208,3.910476208,3.910476208,,,,,,,3.896386433,3.847049236,3.921334505
675,,,,,,,,,,,,,3.890456915,3.890456915,3.890456915,3.879291344,3.825000763,3.921334505
678,,,,3.912615299,3.912615299,3.912615299,,,,,,,,,,3.873163414,3.825000763,3.921334505
696,,,,,,,3.921334505,3.921334505,3.921334505,,,,,,,3.851489067,3.804243565,3.921334505
705,,,,,,,,,,,,,3.847049236,3.847049236,3.847049236,3.843138504,3.804243565,3.87958169
745,,,,,,,,,,3.825000763,3.825000763,3.825000763,,,,3.838947487,3.804243565,3.87958169
756,,,,,,,,,,,,,3.859817266,3.859817266,3.859817266,3.828973246,3.775129557,3.87958169
799,,,,,,,,,,3.804243565,3.804243565,3.804243565,,,,3.810269117,3.766296625,3.87958169
818,,,,,,,3.87958169,3.87958169,3.87958169,,,,,,,3.802319384,3.764494896,3.87958169
821,,,,3.826094151,3.826094151,3.826094151,,,,,,,,,,3.790162277,3.764494896,3.826094151
823,3.775129557,3.775129557,3.775129557,,,,,,,,,,,,,3.769399977,3.722282648,3.818796158
840,,,,,,,,,,3.766296625,3.766296625,3.766296625,,,,3.760176468,3.722282648,3.818796158
