Step,"Grouped runs - Client #1, train_avg_loss","Grouped runs - Client #1, train_avg_loss__MIN","Grouped runs - Client #1, train_avg_loss__MAX","Grouped runs - Client #2, train_avg_loss","Grouped runs - Client #2, train_avg_loss__MIN","Grouped runs - Client #2, train_avg_loss__MAX","Grouped runs - Client #3, train_avg_loss","Grouped runs - Client #3, train_avg_loss__MIN","Grouped runs - Client #3, train_avg_loss__MAX","Grouped runs - Client #4, train_avg_loss","Grouped runs - Client #4, train_avg_loss__MIN","Grouped runs - Client #4, train_avg_loss__MAX","Grouped runs - Client #5, train_avg_loss","Grouped runs - Client #5, train_avg_loss__MIN","Grouped runs - Client #5, train_avg_loss__MAX",avg,min,max
6,,,,,,,4.125386715,4.125386715,4.125386715,,,,,,,4.134120083,4.104337215,4.159495831
14,4.104337215,4.104337215,4.104337215,,,,,,,,,,,,,4.128359032,4.096581459,4.159495831
16,,,,,,,,,,4.156426907,4.156426907,4.156426907,,,,4.115956116,4.042322636,4.159495831
56,,,,,,,,,,,,,4.159495831,4.159495831,4.159495831,4.07822504,3.96777153,4.159495831
57,,,,,,,,,,4.124953747,4.124953747,4.124953747,,,,4.040036488,3.96777153,4.124953747
74,4.096581459,4.096581459,4.096581459,,,,,,,,,,,,,4.003524399,3.942393303,4.096581459
108,4.042322636,4.042322636,4.042322636,,,,,,,,,,,,,3.971949291,3.938705921,4.042322636
134,,,,3.96777153,3.96777153,3.96777153,,,,,,,,,,3.963805962,3.938705921,4.001605988
140,,,,,,,3.968553066,3.968553066,3.968553066,,,,,,,3.952620888,3.911846161,4.001605988
161,3.942393303,3.942393303,3.942393303,,,,,,,,,,,,,3.933258581,3.871741533,4.001605988
190,,,,,,,3.938705921,3.938705921,3.938705921,,,,,,,3.893321276,3.742706776,4.001605988
200,,,,,,,,,,,,,4.001605988,4.001605988,4.001605988,3.858931398,3.742706776,4.001605988
202,,,,3.911846161,3.911846161,3.911846161,,,,,,,,,,3.807254314,3.742706776,3.911846161
228,3.871741533,3.871741533,3.871741533,,,,,,,,,,,,,3.754394674,3.64754796,3.871741533
243,,,,,,,,,,,,,3.742706776,3.742706776,3.742706776,3.694385815,3.571697235,3.766756535
253,,,,3.766756535,3.766756535,3.766756535,,,,,,,,,,3.651200962,3.526782513,3.766756535
295,,,,3.743220568,3.743220568,3.743220568,,,,,,,,,,3.555751228,3.289507866,3.743220568
296,3.64754796,3.64754796,3.64754796,,,,,,,,,,,,,3.453169584,3.230312347,3.64754796
341,,,,3.571697235,3.571697235,3.571697235,,,,,,,,,,3.363605642,3.199728251,3.571697235
