Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
6,,,,,,,4.125386715,4.125386715,4.125386715,,,,,,,4.134120083,4.104337215,4.159495831
14,4.104337215,4.104337215,4.104337215,,,,,,,,,,,,,4.130972767,4.104337215,4.159495831
16,,,,,,,,,,4.156426907,4.156426907,4.156426907,,,,4.118656826,4.042757511,4.159495831
56,,,,,,,,,,,,,4.159495831,4.159495831,4.159495831,4.102606583,4.042757511,4.159495831
57,,,,,,,,,,4.124953747,4.124953747,4.124953747,,,,4.076513672,4.029031277,4.124953747
74,4.109650135,4.109650135,4.109650135,,,,,,,,,,,,,4.05156498,4.000210285,4.109650135
108,4.042757511,4.042757511,4.042757511,,,,,,,,,,,,,4.027036572,3.987008095,4.07617569
134,,,,4.07617569,4.07617569,4.07617569,,,,,,,,,,4.016202593,3.987008095,4.07617569
140,,,,,,,4.029031277,4.029031277,4.029031277,,,,,,,4.002936792,3.987008095,4.029031277
161,4.000210285,4.000210285,4.000210285,,,,,,,,,,,,,3.99998889,3.987008095,4.014291763
190,,,,,,,3.987008095,3.987008095,3.987008095,,,,,,,3.994024897,3.97039032,4.014291763
200,,,,,,,,,,,,,3.988587618,3.988587618,3.988587618,3.985241508,3.943091154,4.014291763
202,,,,4.009846687,4.009846687,4.009846687,,,,,,,,,,3.964073801,3.882749081,4.014291763
228,4.014291763,4.014291763,4.014291763,,,,,,,,,,,,,3.935254145,3.865748405,4.014291763
243,,,,,,,,,,,,,3.97039032,3.97039032,3.97039032,3.891381645,3.794929266,3.97039032
253,,,,3.943091154,3.943091154,3.943091154,,,,,,,,,,3.87482295,3.794929266,3.943091154
295,,,,3.882749081,3.882749081,3.882749081,,,,,,,,,,3.850047636,3.794929266,3.887596846
296,3.865748405,3.865748405,3.865748405,,,,,,,,,,,,,3.816878033,3.716901064,3.887596846
341,,,,3.794929266,3.794929266,3.794929266,,,,,,,,,,3.793423462,3.716901064,3.887596846
356,,,,,,,,,,,,,3.887596846,3.887596846,3.887596846,3.759557962,3.625601768,3.887596846
377,,,,3.819214582,3.819214582,3.819214582,,,,,,,,,,3.707415199,3.625601768,3.819214582
395,3.716901064,3.716901064,3.716901064,,,,,,,,,,,,,3.640194607,3.48311162,3.748475552
409,,,,,,,,,,,,,3.748475552,3.748475552,3.748475552,3.593175316,3.481804609,3.748475552
434,,,,,,,3.625601768,3.625601768,3.625601768,,,,,,,3.52236104,3.394404173,3.62688303
490,,,,,,,,,,,,,3.62688303,3.62688303,3.62688303,3.476223516,3.394404173,3.62688303
496,3.48311162,3.48311162,3.48311162,,,,,,,,,,,,,3.421796751,3.354749203,3.48311162
497,,,,,,,3.481804609,3.481804609,3.481804609,,,,,,,3.406907558,3.354749203,3.481804609
501,,,,,,,,,,3.394404173,3.394404173,3.394404173,,,,3.387419271,3.354749203,3.408665657
537,,,,,,,,,,3.39491415,3.39491415,3.39491415,,,,3.36213994,3.268007517,3.408665657
540,,,,,,,3.354749203,3.354749203,3.354749203,,,,,,,3.322992373,3.199176311,3.408665657
552,,,,3.408665657,3.408665657,3.408665657,,,,,,,,,,3.293998766,3.199176311,3.408665657
575,,,,,,,,,,,,,3.384363174,3.384363174,3.384363174,3.213817692,3.007760286,3.384363174
580,,,,,,,,,,3.268007517,3.268007517,3.268007517,,,,3.125651073,2.943530083,3.268007517
619,,,,,,,3.199176311,3.199176311,3.199176311,,,,,,,3.056655884,2.923031569,3.20978117
659,,,,,,,,,,,,,3.20978117,3.20978117,3.20978117,2.96614852,2.74663949,3.20978117
698,,,,,,,,,,3.007760286,3.007760286,3.007760286,,,,2.924687099,2.74663949,3.007760286
700,,,,,,,2.943530083,2.943530083,2.943530083,,,,,,,2.833139038,2.550019979,3.00247407
744,2.923031569,2.923031569,2.923031569,,,,,,,,,,,,,2.843865681,2.550019979,3.00247407
