Step,"Group: femnist - Client #1, train_avg_loss","Group: femnist - Client #1, train_avg_loss__MIN","Group: femnist - Client #1, train_avg_loss__MAX","Group: femnist - Client #2, train_avg_loss","Group: femnist - Client #2, train_avg_loss__MIN","Group: femnist - Client #2, train_avg_loss__MAX","Group: femnist - Client #3, train_avg_loss","Group: femnist - Client #3, train_avg_loss__MIN","Group: femnist - Client #3, train_avg_loss__MAX","Group: femnist - Client #4, train_avg_loss","Group: femnist - Client #4, train_avg_loss__MIN","Group: femnist - Client #4, train_avg_loss__MAX","Group: femnist - Client #5, train_avg_loss","Group: femnist - Client #5, train_avg_loss__MIN","Group: femnist - Client #5, train_avg_loss__MAX",avg,min,max
6,,,,,,,4.13087368,4.13087368,4.13087368,,,,,,,4.129456711,4.11841917,4.138467312
14,4.124436378,4.124436378,4.124436378,,,,,,,,,,,,,4.12595787,4.113379478,4.138467312
16,,,,,,,,,,4.138467312,4.138467312,4.138467312,,,,4.120540047,4.09734726,4.138467312
56,,,,,,,,,,,,,4.135087013,4.135087013,4.135087013,4.117185688,4.09734726,4.135087013
57,,,,,,,,,,4.11841917,4.11841917,4.11841917,,,,4.111738586,4.09734726,4.121695518
74,4.113379478,4.113379478,4.113379478,,,,,,,,,,,,,4.109097767,4.09734726,4.121695518
108,4.09734726,4.09734726,4.09734726,,,,,,,,,,,,,4.100562,4.070700645,4.121695518
134,,,,4.121695518,4.121695518,4.121695518,,,,,,,,,,4.097396564,4.070700645,4.121695518
140,,,,,,,4.107851505,4.107851505,4.107851505,,,,,,,4.091603088,4.070700645,4.107851505
161,4.105215073,4.105215073,4.105215073,,,,,,,,,,,,,4.087358761,4.070700645,4.105215073
190,,,,,,,4.070700645,4.070700645,4.070700645,,,,,,,4.082045555,4.070700645,4.092728138
200,,,,,,,,,,,,,4.081520081,4.081520081,4.081520081,4.082131004,4.071127892,4.092728138
202,,,,4.092728138,4.092728138,4.092728138,,,,,,,,,,4.077703762,4.059383869,4.092728138
228,4.086629868,4.086629868,4.086629868,,,,,,,,,,,,,4.072189808,4.059383869,4.086629868
243,,,,,,,,,,,,,4.078649044,4.078649044,4.078649044,4.063589478,4.043628216,4.078649044
253,,,,4.071127892,4.071127892,4.071127892,,,,,,,,,,4.053136539,4.026384354,4.071127892
295,,,,4.059383869,4.059383869,4.059383869,,,,,,,,,,4.048369312,4.026384354,4.065158367
296,4.065158367,4.065158367,4.065158367,,,,,,,,,,,,,4.045613766,4.026384354,4.065158367
341,,,,4.043628216,4.043628216,4.043628216,,,,,,,,,,4.036121941,4.017699242,4.047291756
356,,,,,,,,,,,,,4.026384354,4.026384354,4.026384354,4.033628941,4.017699242,4.047291756
378,,,,4.047291756,4.047291756,4.047291756,,,,,,,,,,4.037398434,4.017699242,4.047291756
396,4.045606136,4.045606136,4.045606136,,,,,,,,,,,,,4.038690281,4.017699242,4.053750992
410,,,,,,,,,,,,,4.017699242,4.017699242,4.017699242,4.028659582,3.995452642,4.053750992
435,,,,,,,4.031163216,4.031163216,4.031163216,,,,,,,4.021823025,3.983516455,4.053750992
491,,,,,,,,,,,,,4.045231819,4.045231819,4.045231819,4.011086035,3.977478266,4.053750992
497,4.053750992,4.053750992,4.053750992,,,,,,,,,,,,,4.001558971,3.977478266,4.053750992
498,,,,,,,3.995452642,3.995452642,3.995452642,,,,,,,3.990843678,3.977478266,4.000174522
502,,,,,,,,,,3.983516455,3.983516455,3.983516455,,,,3.993314695,3.977478266,4.007807732
538,,,,,,,,,,3.977478266,3.977478266,3.977478266,,,,3.988757515,3.960730553,4.007807732
541,,,,,,,3.997596502,3.997596502,3.997596502,,,,,,,3.993587351,3.960730553,4.007807732
553,,,,4.000174522,4.000174522,4.000174522,,,,,,,,,,3.982070303,3.940011263,4.007807732
576,,,,,,,,,,,,,4.007807732,4.007807732,4.007807732,3.968323135,3.931438684,4.007807732
581,,,,,,,,,,3.960730553,3.960730553,3.960730553,,,,3.963958359,3.931438684,4.001627445
620,,,,,,,4.001627445,4.001627445,4.001627445,,,,,,,3.954486799,3.913372755,4.001627445
661,,,,,,,,,,,,,3.940011263,3.940011263,3.940011263,3.935196352,3.905175209,3.985983849
700,,,,,,,,,,3.931438684,3.931438684,3.931438684,,,,3.935314131,3.905175209,3.985983849
702,,,,,,,3.985983849,3.985983849,3.985983849,,,,,,,3.920891523,3.859325647,3.985983849
746,3.913372755,3.913372755,3.913372755,,,,,,,,,,,,,3.905935574,3.859325647,3.940600157
754,,,,,,,,,,3.905175209,3.905175209,3.905175209,,,,3.900073051,3.859325647,3.940600157
763,,,,,,,,,,,,,3.940600157,3.940600157,3.940600157,3.895431995,3.859325647,3.940600157
822,,,,,,,,,,3.859325647,3.859325647,3.859325647,,,,3.873107958,3.828979969,3.9112041
832,,,,3.9112041,3.9112041,3.9112041,,,,,,,,,,3.873563385,3.828979969,3.9112041
836,,,,,,,,,,,,,3.884060144,3.884060144,3.884060144,3.864680433,3.828979969,3.884060144
840,,,,,,,3.881969929,3.881969929,3.881969929,,,,,,,3.857394075,3.828979969,3.881969929
875,,,,,,,,,,3.828979969,3.828979969,3.828979969,,,,3.831625462,3.75312686,3.866789341
884,,,,,,,,,,,,,3.861602783,3.861602783,3.861602783,3.829029703,3.75312686,3.866789341
899,3.866789341,3.866789341,3.866789341,,,,,,,,,,,,,3.798612022,3.70951438,3.866789341
928,,,,,,,3.847628355,3.847628355,3.847628355,,,,,,,3.772984791,3.70951438,3.847628355
974,,,,,,,,,,3.75312686,3.75312686,3.75312686,,,,3.752616692,3.70951438,3.816001177
977,,,,,,,,,,,,,3.816001177,3.816001177,3.816001177,3.764869738,3.70951438,3.816001177
1003,,,,3.70951438,3.70951438,3.70951438,,,,,,,,,,3.747337437,3.70951438,3.81439209
1019,,,,,,,,,,,,,3.738653183,3.738653183,3.738653183,3.742682505,3.686239719,3.81439209
1024,3.745787859,3.745787859,3.745787859,,,,,,,,,,,,,3.719233418,3.621407747,3.81439209
1035,,,,3.81439209,3.81439209,3.81439209,,,,,,,,,,3.68845129,3.591877222,3.81439209
