round,L-0001,L-001,L-01,L-1
49,0.075749484,0.058825736,0.058825736,0.058825736
99,0.072893666,0.082904092,0.058825736,0.058825736
149,0.072893666,0.058825736,0.058825736,0.058825736
199,0.072893666,0.058825736,0.058825736,0.058825736
249,0.072893666,0.078178026,0.058825736,0.058825736
299,0.076876572,0.078178026,0.058825736,0.058825736
349,0.167918044,0.078178026,0.058825736,0.058825736
399,0.082357718,0.078178026,0.058825736,0.058825736
449,0.277929108,0.078178026,0.058825736,0.058825736
499,0.160756583,0.078178026,0.058825736,0.058825736
549,0.214538462,0.078178026,0.058825736,0.058825736
599,0.348145229,0.078178026,0.082904092,0.058825736
649,0.294308947,0.078178026,0.082904092,0.058825736
699,0.380875769,0.078178026,0.082904092,0.058825736
749,0.435773637,0.078178026,0.082904092,0.058825736
799,0.207323461,0.078178026,0.082904092,0.058825736
849,0.349172557,0.078178026,0.082904092,0.058825736
899,0.677457233,0.078178026,0.082904092,0.058825736
949,0.556337571,0.078178026,0.082904092,0.058825736
999,0.658445898,0.078178026,0.082904092,0.058825736
1049,0.702735374,0.078178026,0.082904092,0.058825736
1099,0.733948498,0.078178026,0.058825736,0.058825736
1149,0.681334205,0.078178026,0.058825736,0.058825736
1199,0.680813098,0.078178026,0.058825736,0.058825736
1249,0.686912636,0.078178026,0.058825736,0.058825736
1299,0.702641414,0.078178026,0.058825736,0.058825736
1349,0.781743036,0.078178026,0.058825736,0.058825736
1399,0.710749515,0.078178026,0.058825736,0.058825736
1449,0.769378178,0.078178026,0.058825736,0.058825736
1499,0.789827553,0.078178026,0.058825736,0.058825736
1549,0.727684583,0.078178026,0.058825736,0.058825736
1599,0.786116806,0.078178026,0.058825736,0.058825736
1649,0.80158793,0.078178026,0.058825736,0.058825736
1699,0.782760474,0.078178026,0.058825736,0.058825736
1749,0.80839768,0.078178026,0.058825736,0.058825736
1799,0.77639119,0.078178026,0.058825736,0.058825736
1849,0.811892434,0.078178026,0.058825736,0.058825736
1899,0.784259594,0.01802752,0.058825736,0.058825736
1949,0.786482303,0.012249742,0.058825736,0.058825736
1999,0.795857624,0.012249742,0.058825736,0.058825736
2049,0.795151338,0.012249742,0.058825736,0.058825736
2099,0.807109161,0.012249742,0.058825736,0.058825736
2149,0.821273907,0.012249742,0.058825736,0.058825736
2199,0.798614186,0.012249742,0.058825736,0.058825736
2249,0.789322649,0.012249742,0.058825736,0.058825736
2299,0.759790276,0.012249742,0.058825736,0.058825736
2349,0.798590814,0.012249742,0.058825736,0.058825736
2399,0.798260557,0.012249742,0.058825736,0.058825736
2449,0.808290372,0.012249742,0.078178026,0.058825736
2499,0.791487185,0.012249742,0.078178026,0.058825736
2549,0.813316582,0.012249742,0.078178026,0.058825736
2599,0.799445198,0.012249742,0.078178026,0.058825736
2649,0.818712629,0.012249742,0.078178026,0.058825736
2699,0.802294183,0.012249742,0.078178026,0.058825736
2749,0.806625624,0.012249742,0.078178026,0.058825736
2799,0.814281925,0.012249742,0.078178026,0.058825736
2849,0.812718007,0.012249742,0.078178026,0.058825736
2899,0.788840345,0.013302374,0.078178026,0.058825736
2949,0.822062646,0.013302374,0.078178026,0.058825736
