round,batch8,batch16,batch32,batch64
49,0.058825736,0.082904092,0.058825736,0.075749484
99,0.058825736,0.058825736,0.078178026,0.072893666
149,0.058825736,0.058825736,0.078178026,0.072893666
199,0.082904092,0.078178026,0.141956119,0.072893666
249,0.082904092,0.078178026,0.069438911,0.072893666
299,0.058825736,0.078178026,0.069438911,0.076876572
349,0.058825736,0.078178026,0.069438911,0.167918044
399,0.058825736,0.078178026,0.069438911,0.082357718
449,0.058825736,0.069438911,0.069438911,0.277929108
499,0.078178026,0.069438911,0.069438911,0.160756583
549,0.078178026,0.069438911,0.095023866,0.214538462
599,0.078178026,0.069438911,0.069438911,0.348145229
649,0.078178026,0.069438911,0.142332577,0.294308947
699,0.078178026,0.069438911,0.153848659,0.380875769
749,0.078178026,0.069438911,0.129701111,0.435773637
799,0.078178026,0.106361156,0.214160599,0.207323461
849,0.078178026,0.100718311,0.164903639,0.349172557
899,0.078178026,0.142332577,0.265139893,0.677457233
949,0.078178026,0.142332577,0.342786005,0.556337571
999,0.078178026,0.142332577,0.377666377,0.658445898
1049,0.078178026,0.141221466,0.187984968,0.702735374
1099,0.078178026,0.142332577,0.482280383,0.733948498
1149,0.078178026,0.141221466,0.616277868,0.681334205
1199,0.084086523,0.141221466,0.599337207,0.680813098
1249,0.0782762,0.141221466,0.64941065,0.686912636
1299,0.08588542,0.142332577,0.611788426,0.702641414
1349,0.069438911,0.142332577,0.608696598,0.781743036
1399,0.069438911,0.142332577,0.619007572,0.710749515
1449,0.069438911,0.142332577,0.691905636,0.769378178
1499,0.069438911,0.142332577,0.665170735,0.789827553
1549,0.069438911,0.166998384,0.730919949,0.727684583
1599,0.069438911,0.215168233,0.680550373,0.786116806
1649,0.069438911,0.177954696,0.720451339,0.80158793
1699,0.069438911,0.240583285,0.707791343,0.782760474
1749,0.069438911,0.287251758,0.709183844,0.80839768
1799,0.069438911,0.380294453,0.734145771,0.77639119
1849,0.069438911,0.326491084,0.741941056,0.811892434
1899,0.069438911,0.356914333,0.733418372,0.784259594
1949,0.069438911,0.41786241,0.737771686,0.786482303
1999,0.069438911,0.372697701,0.752847439,0.795857624
2049,0.069438911,0.542245888,0.726204727,0.795151338
2099,0.069438911,0.513385858,0.718378789,0.807109161
2149,0.069438911,0.519374985,0.770706113,0.821273907
2199,0.069438911,0.602465759,0.757890925,0.798614186
2249,0.070550022,0.558307692,0.752822774,0.789322649
2299,0.130339057,0.653588881,0.754304009,0.759790276
2349,0.133803109,0.632012685,0.761411786,0.798590814
2399,0.140044996,0.639173226,0.757809255,0.798260557
2449,0.140044996,0.662902348,0.763554889,0.808290372
2499,0.141221466,0.67894423,0.744109697,0.791487185
2549,0.141221466,0.672522973,0.739177379,0.813316582
2599,0.142332577,0.654458695,0.746696765,0.799445198
2649,0.141156107,0.66790526,0.743551945,0.818712629
2699,0.141221466,0.679432215,0.74503032,0.802294183
2749,0.142406107,0.679728544,0.772391699,0.806625624
2799,0.142406107,0.680143888,0.771186419,0.814281925
2849,0.152478346,0.701537576,0.779679224,0.812718007
2899,0.152792072,0.705247938,0.752743549,0.788840345
2949,0.161858463,0.709702596,0.76084008,0.822062646
