round,nbafl,adaclip1,fixdps,mapas
49,0.020177606,0.024901099,0.378559358,0.364204324
99,0.050419738,0.057635378,0.428900371,0.409560225
149,0.015137361,0.06717243,0.448566148,0.424110245
199,0.020177606,0.101218691,0.451017453,0.432622379
249,0.050419738,0.123776576,0.454975719,0.436067762
299,0.074143806,0.143782439,0.451625366,0.437287385
349,0.009291181,0.182751063,0.452025707,0.443160666
399,0.030895655,0.205037019,0.451912769,0.442716701
449,0.030021672,0.228248761,0.45359435,0.444719922
499,0.043730409,0.240834664,0.451975181,0.446048942
549,0.030895655,0.265566086,0.45218621,0.452372244
599,0.012721887,0.271571024,0.453155918,0.452871324
649,0.046356421,0.286639294,0.445952821,0.451901179
699,0.043730409,0.295838523,0.451266951,0.454305479
749,0.024901099,0.30920418,0.451819313,0.453953792
799,0.047510358,0.310902288,0.447671912,0.454616228
849,0.017820502,0.31880534,0.446540923,0.453689106
899,0.020177606,0.326627576,0.449015803,0.454175095
949,0.044443258,0.337024439,0.44616155,0.45544826
