round,nbafl,adaclip1,fixdps,mapas
49,0.018990879,0.044443258,0.303421802,0.241187011
99,0.030895655,0.076048076,0.358726221,0.312099386
149,0.012721887,0.076177983,0.364784342,0.353514521
199,0.009951768,0.110553563,0.370374334,0.37532588
249,0.050419738,0.146526502,0.370480367,0.38598294
299,0.012721887,0.175507461,0.375934329,0.394699351
349,0.012721887,0.200983396,0.374619221,0.400666551
399,0.020177606,0.22454852,0.391916577,0.401226908
449,0.030895655,0.241068895,0.386273324,0.407328583
499,0.017820502,0.252529973,0.384624526,0.413652231
549,0.015137361,0.271461642,0.386590274,0.417202737
599,0.024901099,0.288940442,0.395297811,0.420362178
649,0.012440748,0.303224945,0.391525194,0.422471028
699,0.060878958,0.308587972,0.388381411,0.423990942
749,0.024901099,0.321008829,0.391848142,0.424220865
799,0.050419738,0.327020185,0.398742189,0.424850083
849,0.030895655,0.337182505,0.409338555,0.426442573
899,0.009951768,0.344284842,0.392662343,0.426199407
949,0.043730409,0.350274885,0.401016525,0.427083448
