Step,nbafl-avg,nbafl-min,nbafl-max,adaclip1-avg,adaclip1-min,adaclip1-max,fixdps-avg,fixdps-min,fixdps-max,mapas-avg,mapas-min,mapas-max
17,4.208572747,3.879631689,4.378982067,4.215454704,3.913704221,4.371311665,4.16670766,3.628013993,4.375013999,4.190238468,3.838055514,4.371311665
19,4.186643218,3.879631689,4.367104485,4.20842745,3.913704221,4.361348225,4.074386058,3.628013993,4.375013999,4.110835665,3.838055514,4.361348225
48,4.01187435,3.842797879,4.31319348,4.058285082,3.910921119,4.350229904,3.950439099,3.628013993,4.375013999,3.903707643,3.739964157,4.133103257
55,3.980962251,3.786895392,4.31319348,4.040054037,3.859011088,4.350229904,3.775179458,3.315372961,4.375013999,3.834057806,3.629106003,4.133103257
63,3.928060612,3.786895392,4.154488564,4.015897253,3.859011088,4.277759552,3.514300915,3.070621284,3.833738303,3.567516601,3.333479643,3.739964157
100,3.908270425,3.78342732,4.154488564,3.9887115,3.829363859,4.277759552,3.429452636,3.070621284,3.833738303,3.45414264,3.333479643,3.629106003
149,3.905997176,3.780075645,4.154488564,3.970454779,3.804240925,4.277759552,3.253391683,2.953433538,3.723758035,3.327970807,3.250590504,3.399842275
170,3.772017465,3.752549431,3.78342732,3.803109767,3.775724515,3.829363859,3.049976324,2.70668124,3.315372961,3.238208677,3.064193254,3.399842275
224,3.891752838,3.752549431,4.142633438,3.884389032,3.775724515,4.073201656,2.971142479,2.70668124,3.203772598,3.086734356,2.945419312,3.250590504
256,3.966003903,3.752549431,4.142633438,3.934887384,3.775724515,4.073201656,2.885101632,2.640417051,3.203772598,3.034138822,2.945419312,3.092803902
276,4.082019092,4.00282884,4.142633438,3.99645704,3.95573598,4.073201656,2.794235772,2.640417051,2.953433538,2.926491243,2.741250515,3.092803902
291,3.955770191,3.763886735,4.100594997,3.888173126,3.748349916,3.960433483,2.771142047,2.640417051,2.921203735,2.927414934,2.741250515,3.092803902
310,3.964532413,3.763886735,4.100594997,3.85964247,3.748349916,3.960433483,2.823904043,2.640417051,2.970491221,2.860374314,2.741250515,2.948190386
313,3.967703062,3.763886735,4.110106945,3.786378666,3.740642071,3.870144011,2.743432741,2.518847226,2.970491221,2.808988673,2.587093592,2.948190386
343,4.066877944,4.029115506,4.110106945,3.737616897,3.60206461,3.870144011,2.79212281,2.518847226,2.970491221,2.661719048,2.506381512,2.891682041
387,3.983806153,3.779900133,4.110106945,3.68690861,3.60206461,3.740642071,2.792215878,2.518847226,2.970491221,2.641136097,2.506381512,2.829933186
455,3.93142199,3.779900133,4.061411381,3.6931199,3.60206461,3.75927594,2.705057937,2.402175211,2.970491221,2.679951786,2.506381512,2.829933186
472,3.828160925,3.751628184,3.952954457,3.723545137,3.693340322,3.75927594,2.653391919,2.402175211,2.883867392,2.753195553,2.70354066,2.829933186
491,3.937398417,3.751628184,4.10761261,3.667460855,3.549766302,3.75927594,2.652003332,2.402175211,2.883867392,2.653793755,2.531727791,2.726112814
493,3.883381035,3.751628184,4.10761261,3.652934146,3.549766302,3.715695815,2.578917491,2.402175211,2.749908636,2.680397806,2.531727791,2.783352813
517,3.894357283,3.784556927,4.10761261,3.659886012,3.549766302,3.715695815,2.568532867,2.402175211,2.712161132,2.683084677,2.531727791,2.783352813
525,3.864749977,3.784556927,4.018790692,3.690382179,3.641254803,3.715695815,2.595421552,2.511904288,2.712161132,2.781709717,2.734173428,2.82760291
571,3.977288733,3.784556927,4.128518581,3.620533974,3.506151199,3.714195919,2.567431149,2.511904288,2.697985514,2.655850152,2.405774117,2.82760291
595,4.054180597,4.015232518,4.128518581,3.597857644,3.506151199,3.64616693,2.552549048,2.437493784,2.697985514,2.662485779,2.405774117,2.82760291
650,4.045265998,3.992046894,4.128518581,3.61736826,3.506151199,3.69978665,2.575437153,2.437493784,2.697985514,2.569412248,2.405774117,2.754080309
651,3.99647487,3.982145198,4.015232518,3.649644118,3.602978774,3.69978665,2.531144616,2.437493784,2.632878717,2.685266656,2.548382317,2.754080309
653,4.01710906,3.982145198,4.077135086,3.590600032,3.469034672,3.69978665,2.572245294,2.437493784,2.742122025,2.53801886,2.312336922,2.75333734
711,3.942659945,3.76869955,4.077135086,3.578080449,3.469034672,3.6622279,2.565382071,2.437493784,2.742122025,2.553975217,2.312336922,2.75333734
733,3.871387434,3.768327666,4.077135086,3.593688316,3.469034672,3.6622279,2.562500522,2.423086037,2.742122025,2.466389503,2.312336922,2.59625139
823,3.833693694,3.768327666,3.964053864,3.669404788,3.649802375,3.69618409,2.526724606,2.423086037,2.742122025,2.481367766,2.35727171,2.59625139
842,3.838116017,3.768327666,3.964053864,3.666804967,3.649802375,3.69618409,2.52358209,2.423086037,2.742122025,2.467230036,2.35727171,2.553838201
881,3.844223824,3.78196652,3.964053864,3.661799143,3.634784904,3.69618409,2.414816431,2.198293729,2.537893001,2.477388027,2.35727171,2.553838201
896,3.774623828,3.755253875,3.786651088,3.638063828,3.624978143,3.654428435,2.418880839,2.198293729,2.558215042,2.496967092,2.416008905,2.553838201
977,3.846316292,3.755253875,3.997043914,3.610137068,3.570648158,3.634784904,2.41403788,2.198293729,2.558215042,2.531957122,2.416008905,2.658808293
986,3.836085943,3.755253875,3.997043914,3.606609252,3.570648158,3.624978143,2.364782773,2.198293729,2.558215042,2.522381863,2.416008905,2.658808293
991,3.924182375,3.755960041,4.019543171,3.546908817,3.445876837,3.624201455,2.391829325,2.198293729,2.596043011,2.429350074,2.136913538,2.658808293
1019,3.850055696,3.755960041,4.019543171,3.546499559,3.445876837,3.624201455,2.394279753,2.207723607,2.596043011,2.336052429,2.136913538,2.49232839
1038,3.936484525,3.774663877,4.019543171,3.540726772,3.445876837,3.606883093,2.405187308,2.207723607,2.612752815,2.281809732,2.136913538,2.37891536
1091,3.914419275,3.774663877,4.015246528,3.591955521,3.569420386,3.606883093,2.421190012,2.207723607,2.612752815,2.316045942,2.239622167,2.37891536
1116,4.025228618,3.953347421,4.107091904,3.538155239,3.408019543,3.606883093,2.469791487,2.210545869,2.612752815,2.248722002,2.176943541,2.329600299
1159,4.02044045,3.953347421,4.107091904,3.493025499,3.408019543,3.599563083,2.436758335,2.210545869,2.612752815,2.324894813,2.176943541,2.558118731
1173,3.957235387,3.76373223,4.107091904,3.453536274,3.408019543,3.481095408,2.501602418,2.430877247,2.612752815,2.362157532,2.176943541,2.558118731
