Step,nbafl-avg,nbafl-min,nbafl-max,adaclip1-avg,adaclip1-min,adaclip1-max,fixdps-avg,fixdps-min,fixdps-max,mapas-avg,mapas-min,mapas-max
43,4.207332438,3.893960865,4.37436425,4.177157505,3.826600106,4.372712927,4.184006724,3.836560361,4.37456884,4.177157505,3.826600106,4.372712927
49,4.160389513,3.753132091,4.37436425,4.15668611,3.765185921,4.372712927,4.12427915,3.657377639,4.37456884,4.147020171,3.736188104,4.372712927
51,4.13153525,3.753132091,4.353672199,4.141698695,3.765185921,4.332159483,3.905483439,3.657377639,4.34089097,3.957044429,3.736188104,4.332159483
64,3.947645482,3.753132091,4.287801461,3.99900518,3.765185921,4.327750683,3.653621481,3.585305096,3.718181708,3.716818761,3.611482477,3.802785702
111,3.936484302,3.719648551,4.287801461,3.997874472,3.761793796,4.327750683,3.608535225,3.52211887,3.718181708,3.658162046,3.560217959,3.802785702
123,3.921045854,3.719648551,4.241486118,3.999842163,3.761793796,4.333653756,3.404273397,3.105396226,3.585305096,3.426182111,3.106845896,3.611482477
144,3.91755362,3.719648551,4.241486118,3.991860952,3.761793796,4.333653756,3.288897632,3.105396226,3.52211887,3.300054796,3.106845896,3.560217959
259,3.940614964,3.788832583,4.241486118,4.026061147,3.864394383,4.333653756,3.156908585,3.105396226,3.239177799,3.154932224,3.106845896,3.233100532
261,3.760502498,3.701148721,3.791526191,3.828077199,3.739701913,3.880135303,3.1111938,2.968251871,3.239177799,3.10124533,2.945785215,3.233100532
295,3.90030446,3.701148721,4.210932075,3.970609365,3.739701913,4.307731799,3.023248777,2.968251871,3.126151728,2.977094431,2.860647836,3.124850242
305,3.874915985,3.701148721,4.210932075,3.928858024,3.739140359,4.307731799,2.933742467,2.857632798,2.975342733,2.885087711,2.848830082,2.945785215
352,3.987784794,3.712667158,4.210932075,4.101023159,3.739140359,4.307731799,2.959290715,2.857632798,3.044896615,2.910660914,2.848830082,3.022504825
359,3.821553115,3.712237037,4.039755149,3.907982539,3.728609942,4.256197318,2.892484261,2.774923369,3.044896615,2.875456466,2.755034492,3.022504825
369,3.96643514,3.712237037,4.147313235,4.085727437,3.728609942,4.272375053,2.858555185,2.755845569,3.044896615,2.858721735,2.755034492,3.022504825
425,3.880640084,3.712237037,4.147313235,3.930393063,3.728609942,4.272375053,2.788524702,2.755845569,2.834805168,2.797271586,2.755034492,2.838154379
448,3.983344213,3.78236998,4.147313235,4.089216496,3.790194195,4.272375053,2.824752718,2.755845569,2.883607418,2.841317955,2.798625888,2.887173598
451,3.863217992,3.78236998,4.020349423,3.928982571,3.790194195,4.20508024,2.82958227,2.770334222,2.883607418,2.833625301,2.775547927,2.887173598
483,3.980772421,3.786934573,4.135033266,4.080903577,3.791673277,4.245957213,2.787115587,2.707405122,2.883607418,2.78063784,2.679191994,2.887173598
518,3.897205192,3.769647738,4.135033266,3.946206688,3.791673277,4.245957213,2.738477051,2.707405122,2.770334222,2.732001638,2.679191994,2.775547927
523,4.021727726,3.769647738,4.160502173,4.093977511,3.800989574,4.245957213,2.723996597,2.707405122,2.737691807,2.70584051,2.679191994,2.741264993
559,3.905445265,3.769647738,4.160502173,3.94340431,3.79423761,4.234985747,2.723384029,2.705567416,2.737691807,2.717357625,2.697064544,2.741264993
566,3.905306333,3.769230945,4.160502173,3.940338556,3.791792311,4.234985747,2.701881716,2.673184871,2.726892863,2.699114101,2.686534421,2.713743338
574,3.753191859,3.70415875,3.786185883,3.765180697,3.709512171,3.79423761,2.650906453,2.573967072,2.705567416,2.658520526,2.57528382,2.713743338
602,3.751762361,3.70415875,3.781897389,3.763717807,3.709512171,3.791792311,2.6321713,2.573967072,2.673184871,2.63645115,2.57528382,2.686534421
615,3.756521457,3.70415875,3.783508234,3.760898996,3.709512171,3.78984894,2.623258261,2.573967072,2.649361957,2.625000093,2.57528382,2.652181251
641,3.782775567,3.781897389,3.783508234,3.78671904,3.783335878,3.78984894,2.631529456,2.598780656,2.649361957,2.63728669,2.612143611,2.652181251
642,3.777200919,3.765173444,3.783508234,3.786553977,3.783335878,3.789353751,2.617909644,2.598780656,2.646445755,2.624102726,2.607983316,2.652181251
708,3.856542433,3.765173444,4.021532774,3.861737007,3.786972303,4.008884968,2.613488376,2.598780656,2.633181951,2.615499846,2.607983316,2.626372612
713,3.965704102,3.765173444,4.110406088,3.964218053,3.789353751,4.09441544,2.578884094,2.494967812,2.633181951,2.627880111,2.607983316,2.649284403
758,3.966271051,3.766874291,4.110406088,3.955305727,3.762616772,4.09441544,2.5616398,2.494967812,2.633181951,2.614466857,2.567743557,2.649284403
776,3.887018151,3.766874291,4.110406088,3.878269013,3.762616772,4.09441544,2.524840695,2.494967812,2.556769638,2.585379513,2.539110578,2.649284403
835,3.858073356,3.766874291,4.023571705,3.82755896,3.762616772,3.942285281,2.532314762,2.517390013,2.556769638,2.561811387,2.539110578,2.578580025
838,3.975343108,3.783774072,4.118683545,3.914796119,3.777774826,4.02432825,2.520518022,2.517390013,2.522784635,2.556909529,2.539110578,2.578580025
